Repository's Location,Branch,Author's GitHub ID,Author's Emails,Author's Display Name,Author's Git Author Name,Ignore Glob List
https://github.com/AY2324S1-CS2113-W12-3/tp.git,master,sRanay,,CS2113-W12-3 JASO.. JIE,Jason,
https://github.com/AY2324S1-CS2113-W12-2/tp.git,master,mcmc101001,,CS2113-W12-2 TOH ..CHUN,Sean Leong;Toh Ming Chun;jiachen,
https://github.com/AY2324S1-CS2113-F11-3/tp.git,master,Cheezeblokz,,CS2113-F11-3 ZHU ..NGXI,,
https://github.com/AY2324S1-CS2113-T18-4/tp.git,master,aaronxujiachen,,CS2113-T18-4 XU J..CHEN,XuJiaChen_Aaron,
https://github.com/AY2324S1-CS2113-T17-1/tp.git,master,yicheng-toh,,CS2113-T17-1 TOH ..HENG,Yi Cheng,
https://github.com/AY2324S1-CS2113-T17-1/tp.git,master,nihalzp,,CS2113-T17-1 NIHA..IAJI,,
https://github.com/AY2324S1-CS2113-T18-3/tp.git,master,bljhty,,CS2113-T18-3 LEE ..RYAN,Bryan Lee,
https://github.com/AY2324S1-CS2113-T18-3/tp.git,master,Zhang-Zhitong,,CS2113-T18-3 ZHAN..TONG,,
https://github.com/AY2324S1-CS2113-T18-3/tp.git,master,limyuhching,,CS2113-T18-3 LIM ..HING,Lim Yuh Ching,
https://github.com/AY2324S1-CS2113-W12-4/tp.git,master,NgLixuanNixon,,CS2113-W12-4 NG L..IXON,,
https://github.com/AY2324S1-CS2113-T18-4/tp.git,master,choonkit-nus,,CS2113-T18-4 ONG .. KIT,choonkit,
https://github.com/AY2324S1-CS2113-T17-2/tp.git,master,DextheChik3n,,CS2113-T17-2 DEXT..G EN,Dexter;Dexter Hoon,
https://github.com/AY2324S1-CS2113-W12-4/tp.git,master,farissirraj,,CS2113-W12-4 FARI..RRAJ,Faris Sirraj;faris096,
https://github.com/AY2324S1-CS2113-T17-2/tp.git,master,ziyi105,,CS2113-T17-2 NG Z..I YI,,
https://github.com/AY2324S1-CS2113-W12-1/tp.git,master,StevenGX12,,CS2113-W12-1 GUAN..XIAO,,
https://github.com/AY2324S1-CS2113-T18-1/tp.git,master,onx001,,CS2113-T18-1 OU N..IANG,,
https://github.com/AY2324S1-CS2113-W12-2/tp.git,master,BenedictChannn,,CS2113-W12-2 CHAN..DICT,Benedict Chan;BenedictChan,
https://github.com/AY2324S1-CS2113-W12-1/tp.git,master,yeo-menghan,,CS2113-W12-1 YEO .. HAN,Yeo Meng Han,
https://github.com/AY2324S1-CS2113-T18-1/tp.git,master,TongZhengHong,,CS2113-T18-1 TONG..HONG,Tong Zheng Hong,
https://github.com/AY2324S1-CS2113-T18-1/tp.git,master,ken-ruster,,CS2113-T18-1 OH K.. WEI,ken_ruster,
https://github.com/AY2324S1-CS2113-T17-3/tp.git,master,TeoHaoZhi,,CS2113-T17-3 TEO .. ZHI,,
https://github.com/AY2324S1-CS2113-T18-2/tp.git,master,NeoMinWei,,CS2113-T18-2 NEO .. WEI,Neo Min Wei,
https://github.com/AY2324S1-CS2113-T18-2/tp.git,master,wwweert123,,CS2113-T18-2 PUA ..RICK,Frederick Pua,
https://github.com/AY2324S1-CS2113-T17-4/tp.git,master,SebasFok,,CS2113-T17-4 SEBA..HUNG,,
https://github.com/AY2324S1-CS2113-T17-1/tp.git,master,DaDevChia,,CS2113-T17-1 DYLA..TIAN,,
https://github.com/AY2324S1-CS2113-W12-3/tp.git,master,Jonoans,,CS2113-W12-3 TAN ..THAN,,
https://github.com/AY2324S1-CS2113-W12-3/tp.git,master,ChoonSiang,,CS2113-W12-3 CHAN..IANG,WhIteLIght;choonsiang,
https://github.com/AY2324S1-CS2113-T17-2/tp.git,master,Cazh1,,CS2113-T17-2 CHUA..HENG,Cazh2;ZH,
https://github.com/AY2324S1-CS2113-T18-2/tp.git,master,ryan1604,,CS2113-T18-2 CHUA..RYAN,ryan,
https://github.com/AY2324S1-CS2113-F11-2/tp.git,master,kaijie0102,,CS2113-F11-2 LEOW.. JIE,Leow Kai Jie;kai jie,
https://github.com/AY2324S1-CS2113-W12-1/tp.git,master,lisizhuang-0121,,CS2113-W12-1 LI S..UANG,,
https://github.com/AY2324S1-CS2113-W12-4/tp.git,master,J0shuaLeong,,CS2113-W12-4 LEON..SHUA,,
https://github.com/AY2324S1-CS2113-T17-3/tp.git,master,azfarulmatin,,CS2113-T17-3 AZFA..ANDI,Azfarul Matin,
https://github.com/AY2324S1-CS2113-T17-2/tp.git,master,ShaniceTang,,CS2113-T17-2 TANG..NICE,,
https://github.com/AY2324S1-CS2113-T17-2/tp.git,master,NaychiMin,,CS2113-T17-2 SAUN.. MIN,,
https://github.com/AY2324S1-CS2113-W12-1/tp.git,master,James-Hong-Jey,,CS2113-W12-1 JAME.. JEY,,
https://github.com/AY2324S1-CS2113-T17-4/tp.git,master,rohitcube,,CS2113-T17-4 ROHI..THAN,rohit,
https://github.com/AY2324S1-CS2113-W12-2/tp.git,master,WooKaiNing,,CS2113-W12-2 WOO ..NING,,
https://github.com/AY2324S1-CS2113-T17-4/tp.git,master,janelleenqi,,CS2113-T17-4 LIOW..ELLE,,
https://github.com/AY2324S1-CS2113-W12-1/tp.git,master,spinoandraptos,,CS2113-W12-1 MAN ..HENG,Man Juncheng,
https://github.com/AY2324S1-CS2113-T18-2/tp.git,master,YFshadaow,,CS2113-T18-2 REN ..GDAO,,
https://github.com/AY2324S1-CS2113-T17-4/tp.git,master,ryanlohyr,,CS2113-T17-4 RYAN.. RUI,Ryan Loh,
https://github.com/AY2324S1-CS2113-F11-2/tp.git,master,charkty,,CS2113-F11-2 CHAR..G YU,,
https://github.com/AY2324S1-CS2113-T17-3/tp.git,master,Barbaracwx,,CS2113-T17-3 CHON..BARA,Barbara Chong;barbaracwx,
https://github.com/AY2324S1-CS2113-T17-3/tp.git,master,karishma-t,,CS2113-T17-3 KARI..ARAN,karishma,
https://github.com/AY2324S1-CS2113-W12-2/tp.git,master,Xuan127,,CS2113-W12-2 SHAN..XUAN,,
https://github.com/AY2324S1-CS2113-T18-1/tp.git,master,TriciaBK,,CS2113-T18-1 TRIC..PING,Tricia Boo Koh,
https://github.com/AY2324S1-CS2113-W12-3/tp.git,master,hooami,,CS2113-W12-3 HOO ..HONG,,
https://github.com/AY2324S1-CS2113-T18-4/tp.git,master,lckjosh,,CS2113-T18-4 LIM ..SHUA,Joshua Lim,
https://github.com/AY2324S1-CS2113-F11-2/tp.git,master,StanleyW00,,CS2113-F11-2 STAN..JAYA,Stanley Wijaya,
https://github.com/AY2324S1-CS2113-T18-3/tp.git,master,Hongzhii,,CS2113-T18-3 EE H.. ZHI,HZ;Hong Zhi Ee,
https://github.com/AY2324S1-CS2113-W12-2/tp.git,master,danielpappa,,CS2113-W12-2 PAPP..NIEL,Daniel Pappalardo,
https://github.com/AY2324S1-CS2113-T17-1/tp.git,master,AlWo223,,CS2113-T17-1 WOLT..LIUS,Alexander Wolters,
https://github.com/AY2324S1-CS2113-T18-3/tp.git,master,KenCheung18,,CS2113-T18-3 CHEU..YUEN,,
https://github.com/AY2324S1-CS2113-T17-1/tp.git,master,skylee03,,CS2113-T17-1 YANG..TIAN,Yang Ming-Tian,
https://github.com/AY2324S1-CS2113-F11-3/tp.git,master,wendelinwemhoener,,CS2113-F11-3 WEMH..ELIN,Wendelin Wemhoener;Wendelin Wemhöner,
https://github.com/AY2324S1-CS2113-F11-1/tp.git,master,J-Y-Yan,,CS2113-F11-1 TIAN..AYAN,MSI\jyben,
https://github.com/AY2324S1-CS2113-T18-4/tp.git,master,spaceman03,,CS2113-T18-4 CHUN..XUAN,Chung Zhi Xuan;ChungZhiXuan;Zhi Xuan,
https://github.com/AY2324S1-CS2113-F11-1/tp.git,master,kevinz420,,CS2113-F11-1 ZHAN..EVIN,Kevin Zhang,
https://github.com/AY2324S1-CS2113-F11-1/tp.git,master,MrOPPA1,,CS2113-F11-1 FENG..GYAO,,
https://github.com/AY2324S1-CS2113-W12-4/tp.git,master,ICubE-,,CS2113-W12-4 YEON..JEHO,,
https://github.com/AY2324S1-CS2113-T18-2/tp.git,master,hshiah,,CS2113-T18-2 SHI ..CHEN,,
https://github.com/AY2324S1-CS2113-F11-3/tp.git,master,junhyeong0411,,CS2113-F11-3 BANG..EONG,,
https://github.com/AY2324S1-CS2113-T18-1/tp.git,master,antrikshdhand,,CS2113-T18-1 DHAN..IKSH,Antriksh Dhand,
https://github.com/AY2324S1-CS2113-F11-2/tp.git,master,Haoyuli2002,,CS2113-F11-2 LI H..AOYU,HaoyuLi,
https://github.com/AY2324S1-CS2113-T18-4/tp.git,master,vvhuiling,,CS2113-T18-4 HUAN..LING,huanghuiling,
https://github.com/AY2324S1-CS2113-T17-3/tp.git,master,martinschnder,,CS2113-T17-3 SCHN..ILLE,Martin Schneider,
https://github.com/AY2324S1-CS2113-F11-1/tp.git,master,Remy9926,,CS2113-F11-1 HUAN..AMES,Ethan,
https://github.com/AY2324S1-CS2113-W12-4/tp.git,master,marklin2234,,CS2113-W12-4 LIN ..ZHAO,Mark Lin,
https://github.com/AY2324S1-CS2113-T17-4/tp.git,master,CerIsaiah,,CS2113-T17-4 CERV..DEAN,Your,
https://github.com/AY2324S1-CS2113-W12-3/tp.git,master,itayrefaely,,CS2113-W12-3 REFA..ITAY,Itay Refaely,
https://github.com/AY2324S1-CS2113-F11-3/tp.git,master,Brian030601,,CS2113-F11-3 KHER..ALAN,Bayasgalan Kherlen,
https://github.com/AY2324S1-CS2113T-W11-2/tp.git,master,woodenclock,,CS2113T-W11-2 LEE ..GMIN,Lee Sungmin,
https://github.com/AY2324S1-CS2113T-W11-2/tp.git,master,tangzhenen,,CS2113T-W11-2 TANG..N EN,,
https://github.com/AY2324S1-CS2113T-W11-2/tp.git,master,imaginarys96,,CS2113T-W11-2 YANG..REMY,Jeremy Y.,
https://github.com/AY2324S1-CS2113T-W11-2/tp.git,master,lctxct,,CS2113T-W11-2 LIEN..TING,,
https://github.com/AY2324S1-CS2113T-W11-1/tp.git,master,bnjm2000,,CS2113T-W11-1 BENJ..MING,,
https://github.com/AY2324S1-CS2113T-W11-1/tp.git,master,DavinciDelta,,CS2113T-W11-1 WU X..NGYU,,
https://github.com/AY2324S1-CS2113T-W11-1/tp.git,master,yingx9,,CS2113T-W11-1 LOKE.. XIA,Ying,
https://github.com/AY2324S1-CS2113T-W11-1/tp.git,master,JoanneJo,,CS2113T-W11-1 JOAN..LING,Joanne Ang,
https://github.com/AY2324S1-CS2113T-W11-1/tp.git,master,000verflow,,CS2113T-W11-1 VELU..LAJI,Ashok Balaji,
